ID,Time Stamp,DG_On_Load,DG_ON,DGFuelLow,Door_Open,SiteOnBat,Mains_Fail,Fire_Smoke,DGBatt_Low,Room_Temp,Rack_Temp,Batt_Volt,L1_Voltage,L2_Voltage,L3_Voltage,RectFail,Rec_LowV,DG_AC
26,4/1/2018 15:22,No,No,NOT-PROV,Yes,No,No,No,No,21,20.76,54.98,238.01,0,0,No,NOT-PROV,0
27,4/1/2018 15:20,No,No,NOT-PROV,Yes,No,No,No,No,20.76,20.4,55.04,238.11,0,0,No,NOT-PROV,0
28,4/1/2018 15:17,No,No,NOT-PROV,Yes,No,No,No,No,21,20.52,54.98,238.4,0,0,No,NOT-PROV,0
29,4/1/2018 15:15,No,No,NOT-PROV,Yes,No,No,No,No,21,20.52,54.98,239.19,0,0,No,NOT-PROV,0
30,4/1/2018 15:13,No,No,NOT-PROV,Yes,No,No,No,No,21.37,20.76,55.04,238.99,0,0,No,NOT-PROV,0
31,4/1/2018 15:12,No,No,NOT-PROV,Yes,No,No,No,No,21.37,21.24,54.98,239.87,0,0,No,NOT-PROV,0
32,4/1/2018 15:10,No,No,NOT-PROV,Yes,No,No,No,No,21.73,21.37,54.98,241.53,0,0,No,NOT-PROV,0
33,4/1/2018 15:08,No,No,NOT-PROV,Yes,No,No,No,No,21.85,21.61,54.98,242.61,0,0,No,NOT-PROV,0
34,4/1/2018 15:05,No,No,NOT-PROV,Yes,No,No,No,No,22.09,21.73,54.98,239.58,0,0,No,NOT-PROV,0
35,4/1/2018 15:02,No,No,NOT-PROV,Yes,No,No,No,No,22.58,22.33,54.98,240.26,0,0,No,NOT-PROV,0
36,4/1/2018 15:01,No,No,NOT-PROV,Yes,No,No,No,No,22.82,22.82,54.92,240.75,0,0,No,NOT-PROV,0
37,4/1/2018 14:59,No,No,NOT-PROV,Yes,No,No,No,No,23.06,22.94,54.86,239.97,0,0,No,NOT-PROV,0
38,4/1/2018 14:54,No,No,NOT-PROV,Yes,No,No,No,No,23.42,23.54,55.16,239.58,0,0,No,NOT-PROV,0
39,4/1/2018 14:53,No,No,NOT-PROV,Yes,No,No,No,No,24.27,24.27,54.8,239.58,0,0,No,NOT-PROV,0
40,4/1/2018 14:50,No,No,NOT-PROV,Yes,No,No,No,No,24.63,24.51,55.63,239.77,0,0,No,NOT-PROV,0
41,4/1/2018 14:49,No,No,NOT-PROV,Yes,No,No,No,No,25.12,25.24,55.69,239.97,0,0,No,NOT-PROV,0
42,4/1/2018 14:46,No,No,NOT-PROV,Yes,No,No,No,No,25.36,25.36,55.75,239.87,0,0,No,NOT-PROV,0
43,4/1/2018 14:45,No,No,NOT-PROV,Yes,No,No,No,No,25.85,25.85,55.69,240.65,0,0,No,NOT-PROV,0
44,4/1/2018 14:44,No,No,NOT-PROV,Yes,No,No,No,No,26.21,26.21,55.63,240.75,0,0,No,NOT-PROV,0
45,4/1/2018 14:42,No,No,NOT-PROV,Yes,No,No,No,No,27.66,27.42,55.39,241.83,0,0,No,NOT-PROV,0
46,4/1/2018 14:40,No,No,NOT-PROV,Yes,No,No,No,No,28.15,28.03,54.98,241.73,0,0,No,NOT-PROV,0
47,4/1/2018 14:38,No,No,NOT-PROV,Yes,No,No,No,No,28.15,27.9,55.28,241.83,0,0,No,NOT-PROV,0
48,4/1/2018 14:35,No,No,NOT-PROV,Yes,No,No,No,No,28.51,28.27,55.16,242.22,0,0,No,NOT-PROV,0
49,4/1/2018 14:34,No,No,NOT-PROV,Yes,No,No,No,No,28.27,27.9,55.16,238.31,0,0,No,NOT-PROV,0
50,4/1/2018 14:32,No,No,NOT-PROV,Yes,No,No,No,No,28.63,28.15,55.1,238.5,0,0,No,NOT-PROV,0
51,4/1/2018 14:30,No,No,NOT-PROV,Yes,No,No,No,No,30.57,30.08,55.1,238.89,0,0,No,NOT-PROV,0
52,4/1/2018 14:27,No,No,NOT-PROV,Yes,No,No,No,No,32.14,31.42,55.1,241.34,0,0,No,NOT-PROV,0
53,4/1/2018 14:25,No,No,NOT-PROV,Yes,No,No,No,No,33.11,32.39,55.1,239.87,0,0,No,NOT-PROV,0
54,4/1/2018 14:21,No,No,NOT-PROV,Yes,No,No,No,No,31.9,31.17,55.1,239.19,0,0,No,NOT-PROV,0
55,4/1/2018 14:20,No,No,NOT-PROV,Yes,No,No,No,No,32.39,31.9,55.22,238.8,0,0,No,NOT-PROV,0
56,4/1/2018 14:18,No,No,NOT-PROV,Yes,No,No,No,No,31.9,31.3,55.22,239.09,0,0,No,NOT-PROV,0
57,4/1/2018 14:16,No,No,NOT-PROV,Yes,No,No,No,No,30.21,29.6,55.22,238.7,0,0,No,NOT-PROV,0
58,4/1/2018 14:15,No,No,NOT-PROV,Yes,No,No,No,No,32.63,31.78,55.28,238.89,0,0,No,NOT-PROV,0
59,4/1/2018 14:13,No,No,NOT-PROV,Yes,No,No,No,No,32.75,32.26,55.22,240.16,0,0,No,NOT-PROV,0
