Date,Open,High,Low,Close,Adj Close,Volume
2017-12-18,268.100006,268.600006,267.980011,268.200012,268.200012,83653600
2017-12-19,268.480011,268.529999,267.089996,267.170013,267.170013,82382900
2017-12-20,268.269989,268.329987,266.690002,267.029999,267.029999,76751500
2017-12-21,267.739990,268.390015,267.299988,267.579987,267.579987,67032300
2017-12-22,267.600006,267.640015,266.899994,267.510010,267.510010,78720900
2017-12-26,267.049988,267.440002,266.890015,267.190002,267.190002,45244400
2017-12-27,267.380005,267.730011,267.010010,267.320007,267.320007,57751000
2017-12-28,267.890015,267.920013,267.450012,267.869995,267.869995,45116100
2017-12-29,268.529999,268.549988,266.640015,266.859985,266.859985,96007400
2018-01-02,267.839996,268.809998,267.399994,268.769989,268.769989,86655700
2018-01-03,268.959991,270.640015,268.959991,270.470001,270.470001,90070400
2018-01-04,271.200012,272.160004,270.540009,271.609985,271.609985,80636400
2018-01-05,272.510010,273.559998,271.950012,273.420013,273.420013,83524000
2018-01-08,273.309998,274.100006,272.980011,273.920013,273.920013,57319200
2018-01-09,274.399994,275.250000,274.079987,274.540009,274.540009,57254000
2018-01-10,273.679993,274.420013,272.920013,274.119995,274.119995,69574300
2018-01-11,274.750000,276.119995,274.559998,276.119995,276.119995,62361500
2018-01-12,276.420013,278.109985,276.079987,277.920013,277.920013,88317600
